id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
70,Establecimiento educativo ENS EN LENGUAS VIVAS Nº 01 PTE ROQUE SAENZ PEÑA DE 01,Establecimiento Educativo,ENS EN LENGUAS VIVAS Nº 01 PTE ROQUE SAENZ PEÑA DE 01,200029.0,200696.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común | Nivel secundario común | Nivel superior no universitario común,Escuelas Normales Superiores,Dirección de Escuelas Normales Superiores,Ayacucho 875 - Cordoba Av. 1951,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26254.64593156443 73298.14046583606)
71,Establecimiento educativo LICEO Nº 04 REMEDIOS DE ESCALADA DE SAN MARTIN DE 01,Establecimiento Educativo,LICEO Nº 04 REMEDIOS DE ESCALADA DE SAN MARTIN DE 01,200029.0,201234.0,00,Estatal,Nivel secundario común,Liceos,Dirección de Educación Media,Ayacucho 875 - Cordoba Av. 1951,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26254.64593156443 73298.14046583606)
72,Establecimiento educativo ESC. DE COM. Nº 10 ISLAS MALVINAS DE 01,Establecimiento Educativo,ESC. DE COM. Nº 10 ISLAS MALVINAS DE 01,200029.0,201423.0,00,Estatal,Nivel secundario de jóvenes y adultos,Escuelas de Comercio,Dirección de Educación Media,Ayacucho 875 - Cordoba Av. 1951,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26254.64593156443 73298.14046583606)
73,"Establecimiento educativo ESEA DANZA RAMICONE ""CURSO VOC. FOLKLORE Nº 21""",Establecimiento Educativo,"ESEA DANZA RAMICONE ""CURSO VOC. FOLKLORE Nº 21""",200029.0,203028.0,15,Estatal,Cursos y talleres de la submodalidad artística,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Ayacucho 875 - Cordoba Av. 1951,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26254.64593156443 73298.14046583606)
74,Establecimiento educativo ENS Nº 09 DOMINGO FAUSTINO SARMIENTO DE 01,Establecimiento Educativo,ENS Nº 09 DOMINGO FAUSTINO SARMIENTO DE 01,200030.0,201177.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel primario común | Nivel secundario común | Nivel superior no universitario común,Escuelas Normales Superiores,Dirección de Escuelas Normales Superiores,Callao Av. 450,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26491.610551203634 72821.15212235194)
75,Establecimiento educativo LICEO Nº 07 DOMINGO FAUSTINO SARMIENTO DE 01,Establecimiento Educativo,LICEO Nº 07 DOMINGO FAUSTINO SARMIENTO DE 01,200030.0,201717.0,00,Estatal,Nivel secundario común,Liceos,Dirección de Educación Media,Callao Av. 450,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26491.610551203634 72821.15212235194)
76,Establecimiento educativo INST DE ENS.SUP.Nº 01 DRA.ALICIA MOREAU DE JUSTO DE 01,Establecimiento Educativo,INST DE ENS.SUP.Nº 01 DRA.ALICIA MOREAU DE JUSTO DE 01,200031.0,200720.0,00,Estatal,Cursos de Capacitación de nivel superior | Nivel superior no universitario común,Institutos de Educación Superior de Formación Docente,GO Gestión de Institutos de Formación Docente,Cordoba Av. 2016,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26170.649649201696 73258.1458749192)
77,Establecimiento educativo INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 01,Establecimiento Educativo,INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 01,200032.0,200584.0,00,Estatal,Nivel primario común | Nivel secundario común | Nivel superior no universitario común,Institutos de Formación Docente Multinivel (IFDMN),Dirección de Escuelas Normales Superiores,"Pellegrini, Carlos 1515",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27514.604602782452 74251.04436254983)
78,Establecimiento educativo ESCUELA INTEGRAL INTERDISCIPLINARIA N°01 DE 01,Establecimiento Educativo,ESCUELA INTEGRAL INTERDISCIPLINARIA N°01 DE 01,200033.0,200096.0,00,Estatal,Integración de modalidad especial | Nivel primario especial,Escuelas Integrales Interdisciplinarias,Dirección de Educación Especial,Ayacucho 953,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26188.65731421046 73467.13565396045)
79,Establecimiento educativo SUPERIOR DE ASIMRA,Establecimiento Educativo,SUPERIOR DE ASIMRA,200039.0,201748.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Tucuman 1647,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (26696.674873993732 73049.9656652366)
80,Establecimiento educativo CENS Nº 62 DE 01,Establecimiento Educativo,CENS Nº 62 DE 01,200041.0,200243.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Mitre, Bartolome 970",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27621.12785713272 72431.62100069209)
81,Establecimiento educativo INSTITUTO RAUL SCALABRINI ORTIZ,Establecimiento Educativo,INSTITUTO RAUL SCALABRINI ORTIZ,200041.0,200867.0,00,Privada,Nivel secundario común | Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Mitre, Bartolome 970",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27621.12785713272 72431.62100069209)
82,Establecimiento educativo CENS Nº 5 DE 01,Establecimiento Educativo,CENS Nº 5 DE 01,200041.0,200963.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Mitre, Bartolome 970",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27621.12785713272 72431.62100069209)
83,"Establecimiento educativo CFP Nº 10 DE 01 ""RAUL SCALABRINI ORTIZ""",Establecimiento Educativo,"CFP Nº 10 DE 01 ""RAUL SCALABRINI ORTIZ""",200041.0,202007.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos | Nivel secundario común | Nivel secundario de jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,"Mitre, Bartolome 970",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27621.12785713272 72431.62100069209)
84,Establecimiento educativo CENS Nº 58 DE 01,Establecimiento Educativo,CENS Nº 58 DE 01,200042.0,200423.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Alvear, Marcelo T. De 1840",Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26375.60894233324 73538.11961997527)
85,Establecimiento educativo CENS Nº 13 DE 01,Establecimiento Educativo,CENS Nº 13 DE 01,200042.0,201236.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Alvear, Marcelo T. De 1840",Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26375.60894233324 73538.11961997527)
86,Establecimiento educativo CENTRO AMIA,Establecimiento Educativo,CENTRO AMIA,200044.0,203203.0,30,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,"Uriburu Jose E., Pres. 650",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25926.156280976138 73064.6588618672)
87,Establecimiento educativo IFTS Nº 17 DE 01,Establecimiento Educativo,IFTS Nº 17 DE 01,200048.0,200424.0,00,Estatal,Nivel superior no universitario común,Institutos de Formación Técnica Superior,Dirección de Educación Técnica Superior,Viamonte 872,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27729.54648823759 73200.08288011137)
88,Establecimiento educativo CFP Nº 21 DE 01,Establecimiento Educativo,CFP Nº 21 DE 01,200052.0,202023.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Rivadavia Av. 413,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (28329.473455520958 72387.0945035573)
89,Establecimiento educativo CENS Nº 69 DE 01,Establecimiento Educativo,CENS Nº 69 DE 01,200053.0,200480.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Figueroa Alcorta, Pres. Av. 2977",Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26046.747545836046 75392.05291751632)
90,Establecimiento educativo JARDIN PILUSO,Establecimiento Educativo,JARDIN PILUSO,200053.0,202724.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Figueroa Alcorta, Pres. Av. 2977",Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26046.747545836046 75392.05291751632)
91,Establecimiento educativo JARDIN MATERNAL Nº 06 JARDIN DEL PALACIO DE 01,Establecimiento Educativo,JARDIN MATERNAL Nº 06 JARDIN DEL PALACIO DE 01,200057.0,202403.0,00,Estatal,Nivel inicial común - Jardín maternal,Jardines Maternales (JM),Dirección de Educación Inicial,Paraguay 1657,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26669.62424590406 73421.11745992197)
92,Establecimiento educativo EI Nº 08 DE 01,Establecimiento Educativo,EI Nº 08 DE 01,200063.0,202907.0,00,Estatal,Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,Las Heras General Av. 2670,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25775.321180807598 74925.87294626552)
93,Establecimiento educativo ESC. SUPERIOR DE COMERCIO CARLOS PELLEGRINI,Establecimiento Educativo,ESC. SUPERIOR DE COMERCIO CARLOS PELLEGRINI,200065.0,290008.0,00,Estatal,Nivel secundario común,No corresponde - Otras dependencias,No corresponde - Otras dependencias,"Alvear, Marcelo T. De 1851",Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26357.479445419034 73559.35065978764)
94,Establecimiento educativo ESCUELA NAC. DE BIBLIOTECARIOS,Establecimiento Educativo,ESCUELA NAC. DE BIBLIOTECARIOS,200066.0,290014.0,00,Estatal,Nivel superior no universitario común,No corresponde - Otras dependencias,No corresponde - Otras dependencias,Aguero 2502,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26009.096682184336 74940.35840285331)
95,Establecimiento educativo CENS Nº 41 DE 01,Establecimiento Educativo,CENS Nº 41 DE 01,200068.0,200392.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Castillo, Ramon S., Pres. Av. y De Los Inmigrantes Av.",Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (28731.837951739573 75022.06767654208)
96,Establecimiento educativo INST. CATOLICO DE ESTUDIOS SOCIALES,Establecimiento Educativo,INST. CATOLICO DE ESTUDIOS SOCIALES,200075.0,201746.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Junin 1063,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26054.44395867297 73653.56645331535)
97,Establecimiento educativo INSTITUTO SUPERIOR DE ENFERMERIA ARTEMIDES ZATTI,Establecimiento Educativo,INSTITUTO SUPERIOR DE ENFERMERIA ARTEMIDES ZATTI,200075.0,202994.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Junin 1063,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26054.44395867297 73653.56645331535)
98,Establecimiento educativo INST. DE EDUC. SUP. ITEMED,Establecimiento Educativo,INST. DE EDUC. SUP. ITEMED,200075.0,202995.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Junin 1063,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26054.44395867297 73653.56645331535)
99,Establecimiento educativo JUAN LARREA,Establecimiento Educativo,JUAN LARREA,200076.0,201712.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Laprida 1235,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25118.742604631072 73850.16328031299)
100,Establecimiento educativo ESCUELA DE MUSICA N° 10 DE 02,Establecimiento Educativo,ESCUELA DE MUSICA N° 10 DE 02,200076.0,202473.0,00,Estatal,Servicios complementarios/alternativos,Escuelas de Música - Primarias-,Dirección de Educación Primaria,Laprida 1235,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25118.742604631072 73850.16328031299)
101,Establecimiento educativo MANUEL SOLA,Establecimiento Educativo,MANUEL SOLA,200077.0,200972.0,00,Estatal,Nivel primario común,Escuelas de Jornada Simple,Dirección de Educación Primaria,Lambare 975,Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23045.836822781006 72906.293249591)
102,Establecimiento educativo JIN C DE 02 (ESC. PRIM. Nº 3 DE 2),Establecimiento Educativo,JIN C DE 02 (ESC. PRIM. Nº 3 DE 2),200077.0,201478.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Lambare 975,Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23045.836822781006 72906.293249591)
103,Establecimiento educativo CENTRO LAMBARE,Establecimiento Educativo,CENTRO LAMBARE,200077.0,203203.0,21,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,Lambare 975,Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23045.836822781006 72906.293249591)
104,Establecimiento educativo JIN A DE 02 (ESC. PRIM. N°4 DE 2),Establecimiento Educativo,JIN A DE 02 (ESC. PRIM. N°4 DE 2),200078.0,201471.0,01,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,Soler 3929,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24235.812547541078 74156.18663376337)
105,Establecimiento educativo AMADEO JACQUES,Establecimiento Educativo,AMADEO JACQUES,200078.0,201546.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Soler 3929,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24235.812547541078 74156.18663376337)
106,Establecimiento educativo GRAL MARTIN RODRIGUEZ,Establecimiento Educativo,GRAL MARTIN RODRIGUEZ,200079.0,201254.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,"Anchorena, Tomas Manuel De, Dr. 441",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24846.712804495306 72724.22572802762)
107,Establecimiento educativo CENTRO ANCHORENA,Establecimiento Educativo,CENTRO ANCHORENA,200079.0,203203.0,22,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Educación No Formal (CENOF),Gerencia Operativa de Educación para el Desarrollo y la Inclusión Labora,"Anchorena, Tomas Manuel De, Dr. 441",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24846.712804495306 72724.22572802762)
108,Establecimiento educativo DEL CENTENARIO,Establecimiento Educativo,DEL CENTENARIO,200080.0,201102.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,Rio De Janeiro 946 - Rio De Janeiro 986,Caballito,6,Mapa Escolar - Ministerio de Educación,POINT (22856.932429825494 72762.43661328971)
109,Establecimiento educativo JII Nº7 DE02,Establecimiento Educativo,JII Nº7 DE02,200080.0,203201.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Integrales (JII),Dirección de Educación Inicial,Rio De Janeiro 946 - Rio De Janeiro 986,Caballito,6,Mapa Escolar - Ministerio de Educación,POINT (22856.932429825494 72762.43661328971)
110,Establecimiento educativo JIN B EL JARDIN DEL ABASTO DE 02 (N°8),Establecimiento Educativo,JIN B EL JARDIN DEL ABASTO DE 02 (N°8),200081.0,200294.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,San Luis 3224 - Tucuman 3233,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24769.7381765618 73209.20697986061)
111,Establecimiento educativo DR. ARTURO MATEO BAS,Establecimiento Educativo,DR. ARTURO MATEO BAS,200081.0,201713.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,San Luis 3224 - Tucuman 3233,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (24769.7381765618 73209.20697986061)
112,Establecimiento educativo CENS Nº 40 DE 02,Establecimiento Educativo,CENS Nº 40 DE 02,200082.0,200320.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,El Salvador 4037,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (23973.219647200465 74059.20164299701)
113,Establecimiento educativo CNEL. GENARO BERON DE ASTRADA,Establecimiento Educativo,CNEL. GENARO BERON DE ASTRADA,200082.0,201468.0,00,Estatal,Nivel primario común,Escuelas de Jornada Completa,Dirección de Educación Primaria,El Salvador 4037,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (23973.219647200465 74059.20164299701)
114,Establecimiento educativo JIN A DE 02 (ESC. PRIM. N°9 DE 2),Establecimiento Educativo,JIN A DE 02 (ESC. PRIM. N°9 DE 2),200082.0,201471.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Jardines de Infantes Nucleados (JIN),Dirección de Educación Inicial,El Salvador 4037,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (23973.219647200465 74059.20164299701)
115,Establecimiento educativo JIC N° 01 DE 02,Establecimiento Educativo,JIC N° 01 DE 02,200083.0,201165.0,00,Estatal,Nivel inicial común - Jardín de infantes,Jardines de Infantes Comunes (JIC),Dirección de Educación Inicial,Arenales 2733,Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (25403.73508143989 74111.13946718314)
